Size,Train,Test,LR_Acc,LR_Precision,LR_Recall,LR_F,NB_Acc,NB_Precision,NB_Recall,NB_F,SVM_Acc,SVM_Precision,SVM_Recall,SVM_F
55000,49500.0,5500.0,0.7290909090909091,0.7557093425605537,0.7358490566037735,0.7456469784909525,0.5114545454545455,0.0847750865051903,0.8536585365853658,0.1542335536669814,0.6783636363636364,0.9131487889273356,0.634832812124128,0.7489711934156378
110000,99000.0,11000.0,0.7331818181818182,0.7624808314874766,0.7438497340425532,0.753050063104754,0.5001818181818182,0.07684443687169876,0.8493408662900188,0.14093750000000002,0.5846363636363636,0.2385414891804396,0.9333333333333333,0.3799701452028769
165000,148500.0,16500.0,0.7344242424242424,0.7585181797393094,0.745058400718778,0.751728045325779,0.5033939393939394,0.07546306883146581,0.859375,0.1387429051923481,0.5948484848484848,0.9805625428767436,0.5682857332184746,0.7195536351050887
220000,198000.0,22000.0,0.7400909090909091,0.7640420620671967,0.7513240857503153,0.7576297049847406,0.4990909090909091,0.0706163973668462,0.8471794871794872,0.13036616161616163,0.6537272727272727,0.947507908010601,0.6127605462486869,0.7442250872951921
275000,247500.0,27500.0,0.7371636363636364,0.7607201759208356,0.7471652267818575,0.7538817760828112,0.5029090909090909,0.0731170973062122,0.8539325842696629,0.13470059501202683,0.7150545454545455,0.8363798790544255,0.6905140133893113,0.7564795823233266
330000,297000.0,33000.0,0.7342727272727273,0.7562442713107241,0.745187694044595,0.7506752722413353,0.5041515151515151,0.076076993583868,0.8496481126039668,0.1396498238603502,0.558939393939394,0.9914069660861595,0.5457412254422755,0.7039681086907885
385000,346500.0,38500.0,0.7359480519480519,0.7589255021362274,0.7461735309738786,0.7524954959341675,0.5027792207792208,0.07371212493247557,0.8423120089786756,0.1355610747347031,0.4780779220779221,0.013406668958404951,0.9855595667870036,0.026453488372093027
440000,396000.0,44000.0,0.7378636363636364,0.7638051242568117,0.7481251832921363,0.75588384693532,0.5014090909090909,0.07446854014286325,0.8530132288094071,0.13697875688434305,0.6206363636363637,0.3212284528850678,0.9012360494419777,0.47363773965691214
495000,445500.0,49500.0,0.7346464646464647,0.758229154719578,0.7443702146824801,0.7512357720497718,0.5030707070707071,0.07309706770654127,0.844150110375276,0.13454366335936951,0.5394949494949495,0.13709523263371182,0.9412073490813648,0.23932992958921478
550000,495000.0,55000.0,0.7374181818181819,0.7592611595690097,0.7498733150907064,0.7545380379359575,0.5013818181818182,0.07480759363776296,0.8532969176746,0.13755582112082523,0.6609818181818182,0.9312125876517873,0.6207163866025217,0.7449038224751691
605000,544500.0,60500.0,0.7380661157024794,0.7597368008773304,0.7477641398877444,0.7537029265942401,0.5042975206611571,0.07410308632304559,0.8431372549019608,0.1362327188940092,0.5512231404958677,0.992730690897697,0.5406470768915737,0.7000452953588829
660000,594000.0,66000.0,0.7364090909090909,0.759692590043588,0.7460643780450027,0.7528168113553374,0.505439393939394,0.07659440238586832,0.8585663773706204,0.14064186609799117,0.5942121212121212,0.25286763019041064,0.9237376911795516,0.397046242514296
715000,643500.0,71500.0,0.738097902097902,0.7632986431300224,0.7483532663446387,0.7557520738769762,0.500993006993007,0.07443024634435516,0.8372851215174867,0.1367078806649084,0.6999300699300699,0.5280200237122908,0.8498431006700026,0.651347969514276


