Size,Train,Test,CNN_Acc,CNN_Precision,CNN_Recall,CNN_F
5500,4950.0,550.0,0.48363636374473573,0.42,0.6226415094339622,0.5016286644951139
11000,9900.0,1100.0,0.6290909093076532,0.4209090909090909,0.7602627257799671,0.5418373317729666
16500,14850.0,1650.0,0.7006060606060606,0.6387878787878788,0.7485795454545454,0.6893394375408763
22000,19800.0,2200.0,0.7381818181818182,0.6872727272727273,0.7781780751415337,0.7299058653149891
27500,24750.0,2750.0,0.7938181819482283,0.7530909090909091,0.8244426751592356,0.7871531736982136
33000,29700.0,3300.0,0.7963636363636364,0.76,0.8307386551838357,0.7937964867858839
38500,34650.0,3850.0,0.8114285713666445,0.7818181818181819,0.8349514563106796,0.8075117370892019
44000,39600.0,4400.0,0.821590909090909,0.8054545454545454,0.8418052256532067,0.8232288037166087
49500,44550.0,4950.0,0.8345454544491238,0.8080808080808081,0.856898029134533,0.8317737575379496
