Size,Train,Test,CNN_Acc,CNN_Precision,CNN_Recall,CNN_F
55000,49500.0,5500.0,0.7105454546321522,0.6301818181818182,0.7636043181317471,0.690507022611814

110000,99000.0,11000.0,0.7832727272293785,0.7447272727272727,0.8160988244670253,0.7787812529708147

165000,148500.0,16500.0,0.8149090909379901,0.7843636363636364,0.8434017595307918,0.8128120584079135

220000,198000.0,22000.0,0.8422272727272727,0.8190454545454545,0.8623594161282604,0.8401445389905583

275000,247500.0,27500.0,0.8503272727359424,0.8239272727272727,0.8744548647292656,0.8484394600363221

330000,297000.0,33000.0,0.860909090909091,0.8428181818181818,0.8791566569730687,0.8606039977721393

385000,346500.0,38500.0,0.8677142857142857,0.8475584415584415,0.8853166205437083,0.8660261684227288

440000,396000.0,44000.0,0.8719090909090909,0.8586818181818182,0.8856955319049182,0.871979505642872

495000,445500.0,49500.0,0.8772727272871769,0.8631111111111112,0.8914390635758549,0.8770464039742577

550000,495000.0,55000.0,0.8814545454458756,0.8602,0.9011275760923393,0.8801882755669661

605000,544500.0,60500.0,0.8804958677764766,0.8650909090909091,0.8943914692915,0.8794972189080643

660000,594000.0,66000.0,0.8813787878787879,0.8691060606060607,0.8944348287099843,0.8815885530734414

715000,643500.0,71500.0,0.884489510492845,0.8699300699300699,0.8992077719308391,0.8843266606005459

