Size,Train,Test,GRU_Acc,GRU_Precision,GRU_Recall,GRU_F
55000,49500.0,5500.0,0.47672727277062155,0.12818181818181817,0.5797697368421053,0.20994639666468135
110000,99000.0,11000.0,0.577,0.338,0.740047770700637,0.46405391912131805
165000,148500.0,16500.0,0.6623030302885807,0.558969696969697,0.7258775381709429,0.6315825515305075
220000,198000.0,22000.0,0.7052272727272727,0.6406818181818181,0.751933849026407,0.691864032396613
275000,247500.0,27500.0,0.7488,0.6954181818181818,0.784574358974359,0.7373108433734941
330000,297000.0,33000.0,0.7646969696969697,0.7141212121212122,0.7982521509382833,0.7538466459806148
385000,346500.0,38500.0,0.7722077922077922,0.7307272727272728,0.804788740452556,0.7659719291558328
440000,396000.0,44000.0,0.7880454545454545,0.7532954545454545,0.8165603212534799,0.7836531073045595
495000,445500.0,49500.0,0.7997777777777778,0.7623030303030303,0.8278812611070888,0.7937399425740701
550000,495000.0,55000.0,0.8025636363723061,0.7628727272727273,0.8347026876479599,0.7971729031890336
605000,544500.0,60500.0,0.8056694214954849,0.777090909090909,0.8304746427372772,0.802896397434912
660000,594000.0,66000.0,0.8130454545454545,0.7888787878787878,0.833736328844337,0.8106875102180632
715000,643500.0,71500.0,0.8157622377622378,0.7851048951048951,0.8409233903586302,0.8120560707104315

