Size,Train,Test,LSTM_Acc,LSTM_Precision,LSTM_Recall,LSTM_F
5500,4950.0,550.0,0.2618181818723679,0.26181818181818184,0.26181818181818184,0.26181818181818184
11000,9900.0,1100.0,0.27363636352799153,0.2736363636363636,0.2736363636363636,0.2736363636363636
16500,14850.0,1650.0,0.3903030302307822,0.3903030303030303,0.3903030303030303,0.3903030303030303
22000,19800.0,2200.0,0.29136363647200847,0.2913636363636364,0.2913636363636364,0.2913636363636364
27500,24750.0,2750.0,0.27963636365261946,0.2796363636363636,0.2796363636363636,0.2796363636363636
33000,29700.0,3300.0,0.2906060606060606,0.2906060606060606,0.2906060606060606,0.2906060606060606
38500,34650.0,3850.0,0.2810389610467019,0.28103896103896103,0.28103896103896103,0.28103896103896103
44000,39600.0,4400.0,0.28363636363636363,0.28363636363636363,0.28363636363636363,0.28363636363636363
49500,44550.0,4950.0,0.2727272727513554,0.2727272727272727,0.2727272727272727,0.2727272727272727

